date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:29	829/829	U-----	200	untouched ('')	image/png	etag:%2233d-58f09282871e5%22	http://localhost/wordpress/wp-content/themes/twentythirteen/images/search-icon-2x.png	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/themes/twentythirteen/images/search-icon-2x.png	(from http://localhost/wordpress/wp-content/themes/twentythirteen/style.css?ver=2013-07-18)
15:28:29	86/86	U-----	200	untouched ('')	image/png	etag:%2256-58f0928282f7d%22	http://localhost/wordpress/wp-content/themes/twentythirteen/images/dotted-line-2x.png	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/themes/twentythirteen/images/dotted-line-2x.png	(from http://localhost/wordpress/wp-content/themes/twentythirteen/style.css?ver=2013-07-18)
15:28:29	68632/68632	U-----	200	untouched ('')	font/woff2	etag:%2210c18-58ee19e6894d3%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.3.0	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb434.woff2	(from http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.3.0)
15:28:29	157360/157360	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22266b0-58ee19e68814b%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.3.0	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb434.eot	(from http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.3.0)
15:28:29	157200/157200	U-----	200	untouched ('')	font/ttf	etag:%2226610-58ee19e68891b%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.3.0	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb434.ttf	(from http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.3.0)
15:28:29	83108/83108	U-----	200	untouched ('')	font/woff	etag:%22144a4-58ee19e688d03%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.3.0	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb434.woff	(from http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.3.0)
15:28:30	230733/230733	U-----	200	untouched ('OK')	image/svg+xml	etag:%223854d-58ee19e688533%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.3.0	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb434.svg	(from http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.3.0)
15:28:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Aug%202019%2008:58:30%20GMT	http://localhost/wordpress/?p=5	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/indexc471.html	(from http://localhost/wordpress/about-national-coding-system/)
15:28:30	2230/2230	U-----	200	untouched ('')	application/json	date:Fri,%2016%20Aug%202019%2006:58:20%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fabout-national-coding-system%2F	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-json/oembed/1.0/embed07a0.json	(from http://localhost/wordpress/about-national-coding-system/)
15:28:30	7757/7757	U-----	200	untouched ('')	image/png	etag:%221e4d-58ee381521367%22	http://localhost/wordpress/wp-content/uploads/2019/07/Pcode_structure.png	C:/My%20Web%20Sites/ncs_eng/localhost/wordpress/wp-content/uploads/2019/07/Pcode_structure.png	(from http://localhost/wordpress/about-national-coding-system/)
